Date,Open,High,Low,Close,Volume
03/19/2024,"867.00","905.44","850.10","893.98","67,217,125"
03/18/2024,"903.88","924.05","870.85","884.55","66,897,594"
03/15/2024,"869.30","895.46","862.57","878.37","64,208,621"
03/14/2024,"895.77","906.46","866.00","879.44","60,231,820"
03/13/2024,"910.55","915.04","884.35","908.88","63,571,289"
03/12/2024,"880.49","919.60","861.50","919.13","66,807,523"
03/11/2024,"864.29","887.97","841.66","857.74","67,836,406"
03/08/2024,"951.38","974.00","865.06","875.28","114,226,898"
03/07/2024,"901.58","927.67","896.02","926.69","60,811,922"
03/06/2024,"880.22","897.24","870.30","887.00","58,252,031"
03/05/2024,"852.70","860.97","834.17","859.64","52,063,930"
03/04/2024,"841.30","876.95","837.19","852.37","61,561,648"
03/01/2024,"800.00","823.00","794.35","822.79","47,913,512"
02/29/2024,"790.94","799.90","783.50","791.12","50,728,898"
02/28/2024,"776.20","789.33","771.25","776.63","39,311,039"
02/27/2024,"793.81","794.80","771.62","787.01","39,170,520"
02/26/2024,"797.00","806.46","785.05","790.92","50,397,273"
02/23/2024,"807.90","823.94","775.70","788.17","82,938,844"
02/22/2024,"750.25","785.75","742.20","785.38","86,509,969"
02/21/2024,"680.06","688.88","662.48","674.72","69,029,805"
02/20/2024,"719.47","719.56","677.34","694.52","70,483,312"
02/16/2024,"741.00","744.02","725.01","726.13","49,532,660"
02/15/2024,"738.69","739.75","724.00","726.58","42,012,180"
02/14/2024,"732.02","742.36","719.38","739.00","50,491,738"
02/13/2024,"704.00","734.50","696.20","721.28","60,258,020"
02/12/2024,"726.00","746.11","712.50","722.48","61,371,020"
02/09/2024,"705.33","721.85","702.12","721.33","43,663,688"
02/08/2024,"700.74","707.94","694.55","696.41","41,442,207"
02/07/2024,"683.19","702.20","676.00","700.99","49,557,461"
02/06/2024,"696.30","697.54","663.00","682.23","68,311,133"
02/05/2024,"682.25","694.97","672.05","693.32","68,007,797"
02/02/2024,"639.74","666.00","636.90","661.60","47,657,770"
